Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-12-29,TCS,EQ,3706.55,3692.25,3719.95,3685.0,3688.05,3694.7,3704.9,1456923,539775867200000.0,94120,1091321,0.7491
2021-12-30,TCS,EQ,3694.7,3681.35,3740.0,3680.0,3737.0,3733.75,3725.52,1966475,732613356790000.0,105274,1296163,0.6591
2021-12-31,TCS,EQ,3733.75,3742.8,3760.0,3731.3,3740.0,3738.35,3744.51,1207141,452014905645000.0,101227,727618,0.6028
2022-01-03,TCS,EQ,3738.35,3750.0,3830.0,3745.0,3815.0,3817.75,3807.43,2346158,893282798115000.0,143798,1433211,0.6109
2022-01-04,TCS,EQ,3817.75,3831.1,3889.15,3811.7,3878.7,3884.75,3859.3,2488606,960427401429999.9,141253,1539134,0.6185
2022-01-05,TCS,EQ,3884.75,3865.0,3870.0,3812.4,3856.0,3860.95,3847.67,1733031,666813168800000.0,136018,988277,0.5703
2022-01-06,TCS,EQ,3860.95,3812.0,3835.0,3772.0,3809.95,3807.45,3802.98,1810293,688450014955000.0,135529,995325,0.5498
2022-01-07,TCS,EQ,3807.45,3820.0,3864.9,3796.4,3858.9,3853.5,3839.03,2460591,944628370175000.0,157006,1501620,0.6103000000000001
2022-01-10,TCS,EQ,3853.5,3978.0,3978.0,3861.0,3884.0,3879.85,3897.84,3937092,1534616614980000.0,247085,1687823,0.42869999999999997
2022-01-11,TCS,EQ,3879.85,3856.0,3925.0,3856.0,3917.0,3915.9,3896.96,1906106,742801470035000.0,160870,1054450,0.5532
2022-01-12,TCS,EQ,3915.9,3925.0,3929.0,3836.55,3857.0,3859.9,3874.16,3203744,1241181599080000.0,241232,1866561,0.5826
2022-01-13,TCS,EQ,3859.9,3918.0,3923.0,3857.0,3898.0,3897.9,3891.72,6684507,2601425827950000.0,401435,3737081,0.5590999999999999
2022-01-14,TCS,EQ,3897.9,3877.85,3977.0,3860.05,3965.35,3968.15,3924.25,3348123,1313888127310000.0,213960,1768475,0.5282
2022-01-17,TCS,EQ,3968.15,3992.7,4043.0,3962.3,4025.0,4019.15,4010.33,3442604,1380598084045000.0,230947,1699919,0.4938
2022-01-18,TCS,EQ,4019.15,4033.95,4041.7,3980.0,3993.95,3990.6,4009.82,2389041,957961942410000.0,185771,1635845,0.6847
2022-01-19,TCS,EQ,3990.6,4012.0,4012.0,3910.5,3914.7,3914.65,3937.16,3102539,1221519598315000.0,260043,2121306,0.6837000000000001
2022-01-20,TCS,EQ,3914.65,3910.0,3920.0,3811.0,3833.15,3826.55,3843.03,6176776,2373755701775000.0,349194,4962139,0.8034
2022-01-21,TCS,EQ,3826.55,3807.0,3851.55,3771.1,3840.0,3833.5,3820.58,3112358,1189102605045000.0,240408,1795708,0.5770000000000001
2022-01-24,TCS,EQ,3833.5,3840.0,3849.65,3740.1,3769.95,3771.35,3783.08,3258414,1232683075315000.0,288359,1827786,0.6306
2022-01-25,TCS,EQ,3771.35,3769.5,3809.4,3722.2,3765.0,3769.9,3763.15,3330501,1253318247650000.0,298567,2094835,0.629
2022-01-27,TCS,EQ,3769.9,3731.0,3733.4,3625.1,3652.0,3649.25,3669.1,5718297,2098102887055000.0,473910,3887598,0.6799
2022-01-28,TCS,EQ,3649.25,3646.0,3729.8,3646.0,3697.85,3690.05,3702.94,3143862,1164152481125000.0,226989,1863034,0.5926
